iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,58.805178368,11.6,0.0,0.0,0.0979607105255127,0.09739246100002674,328.26163506507874,325.76477197699927,0.02721261978149414,0.027023910999957934,76.65770435333252,75.73378879399901,0.07070517539978027,0.0703274839999608,251.4597873687744,249.8939900469998,0.0706777572631836,0.07030110499999864,251.3589150905609,249.79889683099756,0.9960474308300395,0.012603587470948696,506,0.012603587470948696,0.9960474308300395
1,0.01680672268907563,32,58.806083584,11.6,0.0,0.0,0.09546947479248047,0.09490527700000939,328.3571045398712,325.8596772539993,0.02257513999938965,0.022401672999990296,76.68027949333191,75.756190466999,0.07285428047180176,0.07246488800001316,251.53264164924622,249.9664549349998,0.07282686233520508,0.07243857800000342,251.43174195289612,249.87133540899757,0.996268656716418,0.008935158140957355,536,0.008935158140957355,0.996268656716418
2,0.025210084033613446,64,58.806771712,11.6,0.0,0.0,0.08990740776062012,0.0893807969999898,328.44701194763184,325.94905805099927,0.021385908126831055,0.021228726000003917,76.70166540145874,75.777419192999,0.0684814453125,0.06811389400002099,251.60112309455872,250.03456882899982,0.06845307350158691,0.06808648300000186,251.5001950263977,249.93942189199757,1.0,0.004613781347870827,494,0.004613781347870827,1.0
3,0.03361344537815126,96,58.807287808,11.6,0.0,0.0,0.11444354057312012,0.11382636499996579,328.56145548820496,326.06288441599924,0.024636507034301758,0.024460148000002846,76.72630190849304,75.80187934099901,0.08976578712463379,0.08932706699999926,251.69088888168335,250.12389589599982,0.0897374153137207,0.08929990000001453,251.58993244171143,250.02872179199758,0.9970674486803519,0.008475566282868385,682,0.008475566282868385,0.9970674486803519
4,0.04201680672268908,128,58.807631872,11.6,0.0,0.0,0.09786391258239746,0.0973058749999609,328.65931940078735,326.1601902909992,0.02353835105895996,0.023364349000019047,76.749840259552,75.82524368999903,0.07428455352783203,0.07390199099995698,251.76517343521118,250.19779788699978,0.07425665855407715,0.07387568100000408,251.6641891002655,250.1025974729976,0.9944237918215614,0.009879027493298054,538,0.009879027493298054,0.9944237918215614
5,0.05042016806722689,160,58.808147968,11.6,0.0,0.0,0.12153387069702148,0.12081827599996586,328.7808532714844,326.28100856699916,0.024421215057373047,0.024233530999993036,76.77426147460938,75.84947722099902,0.09706664085388184,0.09654106900001125,251.86224007606506,250.2943389559998,0.09703373908996582,0.09651029599996264,251.76122283935547,250.19910776899755,0.9973890339425587,0.010779025964438915,766,0.010779025964438915,0.9973890339425587
6,0.058823529411764705,192,58.817953792,11.6,0.0,0.0,0.11801505088806152,0.11731000399998948,328.89886832237244,326.39831857099915,0.027561187744140625,0.027357771999959368,76.80182266235352,75.87683499299898,0.09040689468383789,0.08990782199998648,251.9526469707489,250.38424677799978,0.09037303924560547,0.0898759830000131,251.85159587860107,250.28898375199756,0.9971590909090909,0.008941571228206158,704,0.008941571228206158,0.9971590909090909
7,0.06722689075630252,224,58.824146944,11.6,0.0,0.0,0.07541418075561523,0.07491771799999469,328.97428250312805,326.47323628899915,0.020720243453979492,0.020556648000024325,76.8225429058075,75.897391640999,0.054646968841552734,0.0543163870000285,252.00729393959045,250.4385631649998,0.05461430549621582,0.05428530500000761,251.9062101840973,250.34326905699757,1.0,0.0024397375527769327,360,0.0024397375527769327,1.0
8,0.07563025210084033,256,58.831343616,11.6,0.0,0.0,0.07853937149047852,0.07803347399999438,329.05282187461853,326.55126976299914,0.020066022872924805,0.019908627000006618,76.84260892868042,75.91730026799901,0.05842709541320801,0.05808106599999974,252.06572103500366,250.4966442309998,0.0583953857421875,0.058050880999985566,251.96460556983948,250.40131993799756,1.0,0.010841630399227142,398,0.010841630399227142,1.0
9,0.08403361344537816,288,58.840117248,11.6,0.0,0.0,0.10727429389953613,0.10662816299998212,329.16009616851807,326.6578979259991,0.023928165435791016,0.023749276000046393,76.86653709411621,75.94104954399906,0.0832984447479248,0.08283309000000827,252.1490194797516,250.5794773209998,0.08326148986816406,0.08279865800000152,252.04786705970764,250.48411859599756,0.9807073954983923,0.08898428082466125,622,0.08898428082466125,0.9807073954983923
