iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,61.73376512,12.1,0.0,0.0,0.09871745109558105,0.0981474950000063,146.7418966293335,145.37759277300006,0.02739119529724121,0.02721864399998708,34.30574584007263,33.7078133619999,0.07127881050109863,0.07088358400000061,112.37100124359131,111.60793347099997,0.07124590873718262,0.07085300200000688,112.32511353492737,111.56476090300005,0.9960474308300395,0.013346787542104721,506,0.013346787542104721,0.9960474308300395
1,0.01680672268907563,32,61.744607232,12.1,0.0,0.0,0.09741568565368652,0.09679437500000176,146.83931231498718,145.47438714800006,0.0231173038482666,0.02291715900000213,34.3288631439209,33.7307305209999,0.074249267578125,0.07383076899998287,112.44525051116943,111.68176423999995,0.07421207427978516,0.07379608100001178,112.39932560920715,111.63855698400006,1.0,0.0026806106325238943,536,0.0026806106325238943,1.0
2,0.025210084033613446,64,61.74746624,12.1,0.0,0.0,0.09051132202148438,0.09001120199999946,146.92982363700867,145.56439835000006,0.021678686141967773,0.021511516000003894,34.350541830062866,33.7522420369999,0.06878328323364258,0.06845261500001243,112.51403379440308,111.75021685499996,0.06874608993530273,0.06841762100000892,112.46807169914246,111.70697460500007,0.9979757085020243,0.009367126040160656,494,0.009367126040160656,0.9979757085020243
3,0.03361344537815126,96,61.74746624,12.1,0.0,0.0,0.11582732200622559,0.11513470100001655,147.0456509590149,145.67953305100008,0.02500462532043457,0.02480251699998348,34.3755464553833,33.777044553999886,0.09077024459838867,0.09028289899998754,112.60480403900146,111.84049975399995,0.09073090553283691,0.09024593199998776,112.5588026046753,111.79722053700006,1.0,0.0058516557328403,682,0.0058516557328403,1.0
4,0.04201680672268908,128,61.74752768,12.1,0.0,0.0,0.09967422485351562,0.09905764600000566,147.1453251838684,145.77859069700008,0.02388596534729004,0.02369011100000762,34.39943242073059,33.800734664999894,0.07573699951171875,0.07531893199998763,112.68054103851318,111.91581868599994,0.0756988525390625,0.0752827800000091,112.63450145721436,111.87250331700007,0.9981412639405205,0.004400031641125679,538,0.004400031641125679,0.9981412639405205
5,0.05042016806722689,160,61.74752768,12.1,0.0,0.0,0.1230165958404541,0.12228386699999305,147.26834177970886,145.90087456400008,0.024776697158813477,0.024576074000009385,34.424209117889404,33.8253107389999,0.09818387031555176,0.09765492299999323,112.77872490882874,112.01347360899993,0.09814000129699707,0.09761804300001131,112.73264145851135,111.97012136000008,0.9947780678851175,0.009698119014501572,766,0.009698119014501572,0.9947780678851175
6,0.058823529411764705,192,61.74752768,12.1,0.0,0.0,0.11896276473999023,0.1182159760000161,147.38730454444885,146.0190905400001,0.027895689010620117,0.027662533000011535,34.452104806900024,33.852973271999915,0.09100985527038574,0.09050038499998436,112.86973476409912,112.10397399399992,0.09096932411193848,0.09046233000000825,112.82361078262329,112.06058369000009,0.9957386363636364,0.009956587105989456,704,0.009956587105989456,0.9957386363636364
7,0.06722689075630252,224,61.751656448,12.1,0.0,0.0,0.07628560066223145,0.07574180099999239,147.46359014511108,146.09483234100009,0.020989418029785156,0.020790417000000616,34.47309422492981,33.873763688999915,0.055242061614990234,0.054901066999974546,112.92497682571411,112.15887506099989,0.05520009994506836,0.05486876999998458,112.87881088256836,112.11545246000007,1.0,0.003796123433858156,360,0.003796123433858156,1.0
8,0.07563025210084033,256,61.75625216,12.1,0.0,0.0,0.07870149612426758,0.07817237100002217,147.54229164123535,146.1730047120001,0.0201871395111084,0.020014593000013292,34.49328136444092,33.89377828199993,0.05846261978149414,0.058108377999985805,112.9834394454956,112.21698343899988,0.05842781066894531,0.05807565500001033,112.9372386932373,112.17352811500008,1.0,0.005128692369908094,398,0.005128692369908094,1.0
9,0.08403361344537816,288,61.806903296,12.2,0.0,0.0,0.11507749557495117,0.10983310800000368,147.6573691368103,146.2828378200001,0.024947404861450195,0.02473140600000079,34.51822876930237,33.91850968799993,0.09007549285888672,0.08504997000000003,113.07351493835449,112.30203340899988,0.09003686904907227,0.08501398100000301,113.02727556228638,112.25854209600008,0.9790996784565916,0.06624677777290344,622,0.06624677777290344,0.9790996784565916
10,0.09243697478991597,320,61.811040256,12.2,0.0,0.0,0.10560488700866699,0.10495762400000785,147.76297402381897,146.38779544400012,0.024445295333862305,0.024251124000016944,34.54267406463623,33.942760811999946,0.08110475540161133,0.08065508799998611,113.1546196937561,112.38268849699986,0.08106660842895508,0.0806190650000076,113.10834217071533,112.33916116100009,0.9914675767918089,0.016795726493000984,586,0.016795726493000984,0.9914675767918089
11,0.10084033613445378,352,61.81568512,12.2,0.0,0.0,0.09567022323608398,0.09509015300000101,147.85864424705505,146.48288559700012,0.02287745475769043,0.02269423000001325,34.56555151939392,33.96545504199996,0.07274436950683594,0.07235011400001667,113.22736406326294,112.45503861099988,0.0727088451385498,0.07231630999999084,113.18105101585388,112.41147747100008,0.9942965779467681,0.033401064574718475,526,0.033401064574718475,0.9942965779467681
12,0.1092436974789916,384,61.822066688,12.2,0.0,0.0,0.10388326644897461,0.10323826699999472,147.96252751350403,146.58612386400011,0.027222394943237305,0.02701478500000576,34.59277391433716,33.992469826999965,0.0766134262084961,0.0761778090000007,113.30397748947144,112.53121641999988,0.07657980918884277,0.07614568299999291,113.25763082504272,112.48762315400008,1.0,0.003487145062536001,558,0.003487145062536001,1.0
13,0.11764705882352941,416,61.8288128,12.2,0.0,0.0,0.10950970649719238,0.10886567700001137,148.07203722000122,146.69498954100013,0.024111032485961914,0.023926082999992104,34.61688494682312,34.01639590999996,0.08535289764404297,0.08489568199999553,113.38933038711548,112.61611210199987,0.08531904220581055,0.08486365499999238,113.34294986724854,112.57248680900007,0.9906832298136646,0.02303224429488182,644,0.02303224429488182,0.9906832298136646
14,0.12605042016806722,448,61.834493952,12.2,0.0,0.0,0.10275793075561523,0.10215248999998039,148.17479515075684,146.7971420310001,0.02321314811706543,0.02302659300002574,34.640098094940186,34.03942250299998,0.07950162887573242,0.07908415399998603,113.46883201599121,112.69519625599986,0.07947206497192383,0.07905572800001437,113.42242193222046,112.65154253700008,0.9833333333333333,0.03380462899804115,600,0.03380462899804115,0.9833333333333333
15,0.13445378151260504,480,61.838106624,12.2,0.0,0.0,0.0598602294921875,0.05946100400001342,148.23465538024902,146.85660303500012,0.01848602294921875,0.01834712500001956,34.658584117889404,34.057769628,0.04133129119873047,0.04107255900001405,113.51016330718994,112.73626881499987,0.041298866271972656,0.041041946999996526,113.46372079849243,112.69258448400008,1.0,0.0010101724183186889,246,0.0010101724183186889,1.0
16,0.14285714285714285,512,61.84378368,12.2,0.0,0.0,0.09508132934570312,0.09453536099999837,148.32973670959473,146.95113839600012,0.02224421501159668,0.022070402999986527,34.680828332901,34.07984003099999,0.07279133796691895,0.07242097700000727,113.58295464515686,112.80868979199988,0.0727548599243164,0.07238695000000916,113.53647565841675,112.76497143400009,0.9962546816479401,0.009082361124455929,534,0.009082361124455929,0.9962546816479401
17,0.15126050420168066,544,61.843718144,12.2,0.0,0.0,0.09618639945983887,0.09560373700000468,148.42592310905457,147.04674213300012,0.023058414459228516,0.022879660999990392,34.70388674736023,34.10271969199998,0.07307839393615723,0.0726764590000073,113.65603303909302,112.88136625099989,0.07304215431213379,0.07264267200000063,113.60951781272888,112.83761410600009,1.0,0.0051300376653671265,528,0.0051300376653671265,1.0
18,0.15966386554621848,576,61.835333632,12.2,0.0,0.0,0.1043393611907959,0.10370736300001226,148.53026247024536,147.15044949600014,0.027353525161743164,0.027145836000016743,34.73124027252197,34.129865527999996,0.07693314552307129,0.07651145899998824,113.73296618461609,112.95787770999988,0.07689499855041504,0.07647582199999192,113.6864128112793,112.91408992800008,0.9945848375451264,0.021115075796842575,554,0.021115075796842575,0.9945848375451264
19,0.16806722689075632,608,61.849399296,12.2,0.0,0.0,0.12697672843933105,0.1262089939999953,148.6572391986847,147.27665849000013,0.02612447738647461,0.02591761700000461,34.75736474990845,34.155783145,0.1008000373840332,0.1002423859999908,113.83376622200012,113.05812009599987,0.10076332092285156,0.10020796200001314,113.78717613220215,113.0142978900001,0.9949367088607595,0.010377520695328712,790,0.010377520695328712,0.9949367088607595
20,0.17647058823529413,640,61.849915392,12.2,0.0,0.0,0.09714984893798828,0.09654545899999789,148.75438904762268,147.37320394900013,0.023260831832885742,0.023074072000014212,34.78062558174133,34.178857217000015,0.07384014129638672,0.07342438599999923,113.90760636329651,113.13154448199987,0.07379841804504395,0.07338922900001421,113.86097455024719,113.08768711900011,0.9961685823754789,0.005876564420759678,522,0.005876564420759678,0.9961685823754789
21,0.18487394957983194,672,61.850714112,12.2,0.0,0.0,0.10988378524780273,0.10922138000000814,148.86427283287048,147.48242532900014,0.024225234985351562,0.024041618000012477,34.804850816726685,34.20289883500003,0.0856020450592041,0.08513168100000712,113.99320840835571,113.21667616299987,0.08556628227233887,0.08509788700001764,113.94654083251953,113.17278500600013,0.9968454258675079,0.005857822950929403,634,0.005857822950929403,0.9968454258675079
22,0.19327731092436976,704,61.851254784,12.2,0.0,0.0,0.07714200019836426,0.07664575699999432,148.94141483306885,147.55907108600013,0.0218813419342041,0.021703199999990375,34.82673215866089,34.22460203500002,0.05521345138549805,0.054897187000022996,114.04842185974121,113.2715733499999,0.05518341064453125,0.054868709999993825,114.00172424316406,113.22765371600012,1.0,0.001095478655770421,352,0.001095478655770421,1.0
23,0.20168067226890757,736,61.851254784,12.2,0.0,0.0,0.12740349769592285,0.1266773819999969,149.06881833076477,147.68574846800013,0.02608966827392578,0.025892902999999023,34.852821826934814,34.25049493800002,0.10126733779907227,0.1007393100000229,114.14968919754028,113.37231265999992,0.10123133659362793,0.10070556200000169,114.10295557975769,113.32835927800012,0.9987437185929648,0.00961668323725462,796,0.00961668323725462,0.9987437185929648
24,0.21008403361344538,768,61.85177088,12.2,0.0,0.0,0.1101839542388916,0.10951338899999996,149.17900228500366,147.79526185700013,0.027663230895996094,0.027444117000015922,34.88048505783081,34.27793905500003,0.08246874809265137,0.08202071400000932,114.23215794563293,113.45433337399993,0.08243227005004883,0.08198660299999005,114.18538784980774,113.41034588100011,0.995114006514658,0.0143278818577528,614,0.0143278818577528,0.995114006514658
25,0.2184873949579832,800,61.972619264,12.2,0.0,0.0,0.09778404235839844,0.09717392400000335,149.27678632736206,147.89243578100013,0.022949695587158203,0.022770672999996577,34.90343475341797,34.30070972800003,0.07478451728820801,0.07435600699997735,114.30694246292114,113.52868938099991,0.07474541664123535,0.07431923599997958,114.26013326644897,113.48466511700009,0.9943609022556391,0.009688117541372776,532,0.009688117541372776,0.9943609022556391
26,0.226890756302521,832,61.859033088,12.2,0.0,0.0,0.12717008590698242,0.12641226799999572,149.40395641326904,148.01884804900013,0.02565169334411621,0.02544544799999926,34.929086446762085,34.32615517600003,0.10146570205688477,0.10091641399998252,114.40840816497803,113.62960579499989,0.10142755508422852,0.10088073499997563,114.3615608215332,113.58554585200007,0.9923664122137404,0.021100454032421112,786,0.021100454032421112,0.9923664122137404
27,0.23529411764705882,864,61.859033088,12.2,0.0,0.0,0.08998847007751465,0.0894051229999775,149.49394488334656,148.1082531720001,0.02289891242980957,0.022724947000000384,34.951985359191895,34.34888012300003,0.06703853607177734,0.06663114399998449,114.4754467010498,113.69623693899987,0.0670008659362793,0.06659600400001864,114.42856168746948,113.65214185600009,1.0,0.005488760303705931,458,0.005488760303705931,1.0
28,0.24369747899159663,896,61.859033088,12.2,0.0,0.0,0.14263534545898438,0.14180092899999863,149.63658022880554,148.2500541010001,0.028820276260375977,0.0285975580000013,34.98080563545227,34.37747768100003,0.11376023292541504,0.11315219499999785,114.58920693397522,113.80938913399987,0.11372137069702148,0.11311598700001468,114.5422830581665,113.7652578430001,1.0,0.002720239805057645,888,0.002720239805057645,1.0
29,0.25210084033613445,928,61.859033088,12.2,0.0,0.0,0.1103963851928711,0.10972587000000544,149.7469766139984,148.3597799710001,0.02384805679321289,0.023657100000008313,35.00465369224548,34.40113478100004,0.08649635314941406,0.08601896500002226,114.67570328712463,113.8954080989999,0.0864572525024414,0.08598284699999681,114.62874031066895,113.8512406900001,0.9968553459119497,0.007584082894027233,636,0.007584082894027233,0.9968553459119497
