iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,57.72412928,11.4,0.0,0.0,0.09789228439331055,0.09733363999998801,750.4829890727997,745.3996219310011,0.02730417251586914,0.02710208300004524,175.0348014831543,173.32824025499502,0.07054615020751953,0.07019111500005693,575.1298928260803,571.7689934020046,0.07051920890808105,0.07016569199993228,574.9093127250671,571.5606900409971,0.9980237154150198,0.004613143391907215,506,0.004613143391907215,0.9980237154150198
1,0.01680672268907563,32,57.761255424,11.4,0.0,0.0,0.09759831428527832,0.09698841800002356,750.580587387085,745.4966103490011,0.023775577545166016,0.023570087999928546,175.05857706069946,173.35181034299495,0.0737752914428711,0.07337351600006059,575.2036681175232,571.8423669180047,0.07374119758605957,0.07334139799991135,574.9830539226532,571.634031438997,0.996268656716418,0.0052957599982619286,536,0.0052957599982619286,0.996268656716418
2,0.025210084033613446,64,57.762086912,11.4,0.0,0.0,0.08995652198791504,0.08941526599994631,750.6705439090729,745.5860256150011,0.02162480354309082,0.021457107999935943,175.08020186424255,173.3732674509949,0.06828880310058594,0.06791675900001337,575.2719569206238,571.9102836770047,0.06826138496398926,0.06789043800006311,575.0513153076172,571.7019218769971,1.0,0.00039285977254621685,494,0.00039285977254621685,1.0
3,0.03361344537815126,96,57.765605376,11.4,0.0,0.0,0.11375141143798828,0.11309385800007021,750.7842953205109,745.6991194730011,0.024503231048583984,0.024322190000020782,175.10470509529114,173.3975896409949,0.08921003341674805,0.08873498299999483,575.3611669540405,571.9990186600047,0.08918452262878418,0.08871050800007652,575.140499830246,571.7906323849971,0.9970674486803519,0.005157848820090294,682,0.005157848820090294,0.9970674486803519
4,0.04201680672268908,128,57.766977536,11.4,0.0,0.0,0.09753203392028809,0.09695234499997696,750.8818273544312,745.7960718180011,0.023607730865478516,0.02342964199999642,175.12831282615662,173.4210192829949,0.07388591766357422,0.07348570999999993,575.4350528717041,572.0725043700047,0.07386016845703125,0.07346115499990447,575.214359998703,571.864093539997,0.9981412639405205,0.004612544551491737,538,0.004612544551491737,0.9981412639405205
5,0.05042016806722689,160,57.768620032,11.4,0.0,0.0,0.12079286575317383,0.12010881000003337,751.0026202201843,745.9161806280011,0.02425694465637207,0.024080518999994638,175.152569770813,173.4450998019949,0.0964968204498291,0.09599125600004754,575.5315496921539,572.1684956260048,0.09647154808044434,0.09596680799995738,575.3108315467834,571.960060347997,0.9986945169712794,0.003222719533368945,766,0.003222719533368945,0.9986945169712794
6,0.058823529411764705,192,57.769684992,11.4,0.0,0.0,0.11655783653259277,0.11588801599998533,751.1191780567169,746.0320686440011,0.02720355987548828,0.027003820000004453,175.17977333068848,173.4721036219949,0.08931636810302734,0.08884827600002154,575.620866060257,572.2573439020048,0.08929085731506348,0.08882359699998688,575.4001224040985,572.048883944997,0.9971590909090909,0.005334518384188414,704,0.005334518384188414,0.9971590909090909
7,0.06722689075630252,224,57.770717184,11.4,0.0,0.0,0.07426953315734863,0.07382876500003022,751.1934475898743,746.1058974090012,0.0203855037689209,0.020224326999937148,175.2001588344574,173.49232794899484,0.05384564399719238,0.053568156999972416,575.6747117042542,572.3109120590047,0.05382037162780762,0.05354405499997483,575.4539427757263,572.102427999997,1.0,0.0011221480090171099,360,0.0011221480090171099,1.0
8,0.07563025210084033,256,57.774845952,11.4,0.0,0.0,0.07725930213928223,0.07678649399997539,751.2707068920135,746.1826839030011,0.0197908878326416,0.019641265000018393,175.21994972229004,173.51196921399486,0.05742955207824707,0.057108322000090084,575.7321412563324,572.3680203810048,0.0574038028717041,0.057083427999941705,575.511346578598,572.1595114279969,0.9974874371859297,0.004296781495213509,398,0.004296781495213509,0.9974874371859297
9,0.08403361344537816,288,57.777942528,11.4,0.0,0.0,0.10640859603881836,0.1058008789999576,751.3771154880524,746.2884847820011,0.0236358642578125,0.023458035999965432,175.24358558654785,173.53542724999483,0.0827341079711914,0.08230564799998774,575.8148753643036,572.4503260290048,0.08270859718322754,0.08228118400006679,575.5940551757812,572.241792611997,0.9790996784565916,0.0951022058725357,622,0.0951022058725357,0.9790996784565916
