iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,57.314930688,11.3,0.0,0.0,0.09731841087341309,0.09678652799999554,255.58047223091125,253.5435598050003,0.027112245559692383,0.026913947999958054,59.69211411476135,58.897094163999796,0.07016324996948242,0.06983156100000087,195.7762758731842,194.53994935199975,0.07013726234436035,0.06980671700000585,195.697856426239,194.46607368599874,0.9960474308300395,0.010904948227107525,506,0.010904948227107525,0.9960474308300395
1,0.01680672268907563,32,57.314930688,11.3,0.0,0.0,0.09621953964233398,0.09565123199996606,255.6766917705536,253.63921103700028,0.022685766220092773,0.022515987000019777,59.714799880981445,58.919610150999816,0.07348966598510742,0.0730928909999875,195.8497655391693,194.61304224299974,0.07346010208129883,0.0730647480000357,195.7713165283203,194.53913843399877,1.0,0.004546441603451967,536,0.004546441603451967,1.0
2,0.025210084033613446,64,57.314750464,11.3,0.0,0.0,0.08961319923400879,0.08908559700000751,255.7663049697876,253.7282966340003,0.021437883377075195,0.0212766889999898,59.73623776435852,58.940886839999806,0.0681314468383789,0.06776931199999581,195.9178969860077,194.68081155499974,0.06809401512145996,0.06773692299998402,195.83941054344177,194.60687535699876,0.9979757085020243,0.005766492336988449,494,0.005766492336988449,0.9979757085020243
3,0.03361344537815126,96,57.314750464,11.3,0.0,0.0,0.11437392234802246,0.11372257799996532,255.88067889213562,253.84201921200025,0.024745702743530273,0.024567069999989144,59.76098346710205,58.965453909999795,0.0895836353302002,0.0891127109999843,196.0074806213379,194.76992426599972,0.08955216407775879,0.08908288399999265,195.92896270751953,194.69595824099875,1.0,0.007213012780994177,682,0.007213012780994177,1.0
4,0.04201680672268908,128,57.314750464,11.3,0.0,0.0,0.09782814979553223,0.09726089200000843,255.97850704193115,253.93928010400026,0.023612260818481445,0.023431149999964873,59.78459572792053,58.98888505999976,0.07417130470275879,0.07378689699999086,196.08165192604065,194.8437111629997,0.07414031028747559,0.07375775900004555,196.003103017807,194.7697159999988,0.9962825278810409,0.00810666661709547,538,0.00810666661709547,0.9962825278810409
5,0.05042016806722689,160,57.316241408,11.3,0.0,0.0,0.12099289894104004,0.12029698300000291,256.0994999408722,254.05957708700026,0.02436661720275879,0.024189123000041945,59.80896234512329,59.0130741829998,0.09658336639404297,0.09606670400000894,196.1782352924347,194.93977786699972,0.09655141830444336,0.0960369519999631,196.09965443611145,194.86575295199876,0.9947780678851175,0.013854114338755608,766,0.013854114338755608,0.9947780678851175
6,0.058823529411764705,192,57.31641344,11.3,0.0,0.0,0.11724638938903809,0.11657306000000744,256.21674633026123,254.17615014700027,0.027435779571533203,0.02723063900003808,59.836398124694824,59.04030482199984,0.0897672176361084,0.08930082000000539,196.2680025100708,195.02907868699972,0.08973526954650879,0.08927065299997139,196.18938970565796,194.95502360499873,0.9971590909090909,0.011060662567615509,704,0.011060662567615509,0.9971590909090909
7,0.06722689075630252,224,57.31745792,11.3,0.0,0.0,0.07459688186645508,0.07415081999999984,256.2913432121277,254.25030096700027,0.020549297332763672,0.02038642700000537,59.85694742202759,59.060691248999845,0.05400514602661133,0.053723520000005465,196.3220076560974,195.08280220699973,0.05397772789001465,0.05369748299995081,196.24336743354797,195.00872108799868,0.9972222222222222,0.006998799275606871,360,0.006998799275606871,0.9972222222222222
8,0.07563025210084033,256,57.313431552,11.3,0.0,0.0,0.0775294303894043,0.07702951599998187,256.3688726425171,254.32733048300025,0.019881486892700195,0.01972957300000644,59.87682890892029,59.08042082199985,0.05760622024536133,0.05726002000000108,196.37961387634277,195.14006222699973,0.05757594108581543,0.05723102700000027,196.3009433746338,195.06595211499868,0.9899497487437185,0.015874655917286873,398,0.015874655917286873,0.9899497487437185
9,0.08403361344537816,288,57.313431552,11.3,0.0,0.0,0.10605740547180176,0.10545272800004568,256.4749300479889,254.4327832110003,0.023863554000854492,0.023695088000010855,59.90069246292114,59.10411590999986,0.08215045928955078,0.08171612000001005,196.46176433563232,195.22177834699974,0.08212041854858398,0.08168790299998818,196.38306379318237,195.14764001799867,0.9839228295819936,0.05519026145339012,622,0.05519026145339012,0.9839228295819936
10,0.09243697478991597,320,57.313468416,11.3,0.0,0.0,0.1030571460723877,0.10250793000000158,256.5779871940613,254.5352911410003,0.023793458938598633,0.023619429999996555,59.92448592185974,59.12773533999986,0.07922077178955078,0.07884743199997502,196.54098510742188,195.30062577899972,0.07919144630432129,0.07881953300000077,196.4622552394867,195.22645955099867,0.9948805460750854,0.011661677621304989,586,0.011661677621304989,0.9948805460750854
11,0.10084033613445378,352,57.329147904,11.3,0.0,0.0,0.09475374221801758,0.09417836100004706,256.6727409362793,254.62946950200035,0.0224916934967041,0.022323018999998112,59.946977615356445,59.15005835899986,0.07220864295959473,0.07181110499999477,196.61319375038147,195.3724368839997,0.07217979431152344,0.07178368699999282,196.53443503379822,195.29824323799866,0.9961977186311787,0.01708262227475643,526,0.01708262227475643,0.9961977186311787
12,0.1092436974789916,384,57.336377344,11.3,0.0,0.0,0.10264873504638672,0.10205811099996254,256.7753896713257,254.7315276130003,0.027220964431762695,0.027018032999990282,59.97419857978821,59.17707639199985,0.07538533210754395,0.07499943600004144,196.688579082489,195.44743631999975,0.07535672187805176,0.07497194799998397,196.60979175567627,195.37321518599865,0.9982078853046595,0.008018535561859608,558,0.008018535561859608,0.9982078853046595
13,0.11764705882352941,416,57.337434112,11.3,0.0,0.0,0.10862851142883301,0.10801672300004839,256.8840181827545,254.83954433600036,0.02384495735168457,0.02366910400002098,59.99804353713989,59.20074549599987,0.08474040031433105,0.08430634699999473,196.77331948280334,195.53174266699975,0.08471012115478516,0.08427739199998996,196.69450187683105,195.45749257799864,0.9968944099378882,0.010196193121373653,644,0.010196193121373653,0.9968944099378882
14,0.12605042016806722,448,57.338507264,11.3,0.0,0.0,0.10275626182556152,0.10214915899996413,256.9867744445801,254.94169349500032,0.02328944206237793,0.0231162630000199,60.02133297920227,59.22386175899989,0.0794210433959961,0.07898924799997076,196.85274052619934,195.61073191499972,0.0793905258178711,0.07896058000000039,196.77389240264893,195.53645315799864,0.9866666666666667,0.02761175110936165,600,0.02761175110936165,0.9866666666666667
15,0.13445378151260504,480,57.338507264,11.3,0.0,0.0,0.059624671936035156,0.05921961500001771,257.0463991165161,255.00091311000034,0.01881885528564453,0.018652096999971945,60.040151834487915,59.24251385599986,0.040762901306152344,0.040526755000030334,196.8935034275055,195.65125866999975,0.04073357582092285,0.040498461999959545,196.81462597846985,195.5769516199986,1.0,0.0027260310016572475,246,0.0027260310016572475,1.0
16,0.14285714285714285,512,57.33902336,11.3,0.0,0.0,0.09354996681213379,0.09304350200000044,257.13994908332825,255.09395661200034,0.021882057189941406,0.021727788000021064,60.062033891677856,59.26424164399988,0.07162666320800781,0.07127621000000772,196.9651300907135,195.72253487999976,0.07159805297851562,0.07124882499999785,196.88622403144836,195.6482004449986,0.9925093632958801,0.01060650497674942,534,0.01060650497674942,0.9925093632958801
17,0.15126050420168066,544,57.33902336,11.3,0.0,0.0,0.09477925300598145,0.09423509699996657,257.23472833633423,255.1881917090003,0.022760868072509766,0.022602421000044615,60.084794759750366,59.286844064999926,0.0719749927520752,0.07159098799996855,197.03710508346558,195.79412586799972,0.0719459056854248,0.07156341300003533,196.9581699371338,195.71976385799863,1.0,0.006970579270273447,528,0.006970579270273447,1.0
18,0.15966386554621848,576,57.349615616,11.3,0.0,0.0,0.1022348403930664,0.10160220200003778,257.3369631767273,255.28979391100034,0.026868820190429688,0.0266700779999951,60.111663579940796,59.31351414299992,0.07532310485839844,0.07489057300000468,197.11242818832397,195.86901644099973,0.07529449462890625,0.07486321899995119,197.0334644317627,195.79462707699858,0.9945848375451264,0.02235756814479828,554,0.02235756814479828,0.9945848375451264
