iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,unwrap_time,unwrap_time_cpu,unwrap_time_sum,unwrap_time_sum_cpu,write_time,write_time_cpu,write_time_sum,write_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,60.933840896,12.0,0.0,0.0,1.259648323059082,1.093042917,1.259648323059082,1.093042917,0.31219482421875,0.3015404069999992,0.31219482421875,0.3015404069999992,0.0009260177612304688,0.0009174820000001915,0.0009260177612304688,0.0009174820000001915,0.19915246963500977,0.1828841609999987,0.19915246963500977,0.1828841609999987,0.7472796440124512,0.6076117009999997,0.7472796440124512,0.6076117009999997,0.7472429275512695,0.6075770309999999,0.7472429275512695,0.6075770309999999,0.9980237154150198,0.006183587480336428,506,0.006183587480336428,0.9980237154150198
1,0.01680672268907563,32,60.934504448,12.0,0.0,0.0,0.2565889358520508,0.2463981670000006,1.5162372589111328,1.3394410840000006,0.023462533950805664,0.023259609000000125,0.33565735816955566,0.3248000159999993,0.0008294582366943359,0.0008235610000006943,0.0017554759979248047,0.0017410430000008859,0.15944170951843262,0.1498371899999995,0.3585941791534424,0.3327213509999982,0.07277989387512207,0.07240577999999864,0.8200595378875732,0.6800174809999984,0.0727536678314209,0.07238015199999914,0.8199965953826904,0.6799571829999991,0.996268656716418,0.011998431757092476,536,0.011998431757092476,0.996268656716418
2,0.025210084033613446,64,60.934742016,12.0,0.0,0.0,0.24283289909362793,0.23629902800000124,1.7590701580047607,1.5757401120000019,0.02164483070373535,0.021478730000000112,0.357302188873291,0.3462787459999994,0.0007958412170410156,0.0007962020000000791,0.0025513172149658203,0.002537245000000965,0.1527550220489502,0.14673602400000085,0.5113492012023926,0.4794573749999991,0.06756830215454102,0.06722153499999983,0.8876278400421143,0.7472390159999982,0.0675351619720459,0.06719537099999862,0.8875317573547363,0.7471525539999977,1.0,0.0021782806143164635,494,0.0021782806143164635,1.0
3,0.03361344537815126,96,60.936024064,12.0,0.0,0.0,0.2749965190887451,0.2665712829999993,2.034066677093506,1.8423113950000012,0.02473139762878418,0.02455611100000077,0.3820335865020752,0.3708348570000002,0.0008311271667480469,0.0008256580000001179,0.003382444381713867,0.003362903000001083,0.16141510009765625,0.1536192940000003,0.6727643013000488,0.6330766689999994,0.08794903755187988,0.0875032779999998,0.9755768775939941,0.834742293999998,0.08792400360107422,0.08747920699999945,0.9754557609558105,0.8346317609999971,1.0,0.00574164604768157,682,0.00574164604768157,1.0
4,0.04201680672268908,128,60.934438912,12.0,0.0,0.0,0.2627401351928711,0.24782612199999932,2.296806812286377,2.0901375170000005,0.023653745651245117,0.023472907000000376,0.4056873321533203,0.39430776400000056,0.00081634521484375,0.0008116569999998546,0.004198789596557617,0.0041745600000009375,0.1653144359588623,0.15097049300000087,0.8380787372589111,0.7840471620000002,0.07288599014282227,0.07250399299999977,1.0484628677368164,0.9072462869999978,0.0728611946105957,0.07248020599999982,1.0483169555664062,0.907111966999997,0.9981412639405205,0.0044645946472883224,538,0.0044645946472883224,0.9981412639405205
5,0.05042016806722689,160,60.935000064,12.0,0.0,0.0,0.28178954124450684,0.2721789920000006,2.578596353530884,2.362316509000001,0.02436232566833496,0.02418604199999841,0.4300496578216553,0.41849380599999897,0.0008308887481689453,0.000823358999999968,0.0050296783447265625,0.0049979190000009055,0.16149282455444336,0.15254977699999905,0.9995715618133545,0.9365969389999993,0.09503364562988281,0.0945524140000007,1.1434965133666992,1.0017987009999985,0.09500837326049805,0.09452826200000075,1.1433253288269043,1.0016402289999977,0.9973890339425587,0.006392618175595999,766,0.006392618175595999,0.9973890339425587
6,0.058823529411764705,192,60.93647872,12.0,0.0,0.0,0.30110883712768555,0.26784579099999917,2.8797051906585693,2.6301623000000003,0.02940201759338379,0.02836099199999964,0.45945167541503906,0.4468547979999986,0.0008242130279541016,0.0008183749999997048,0.005853891372680664,0.00581629400000061,0.18172860145568848,0.14995187700000123,1.181300163269043,1.0865488160000005,0.08908486366271973,0.08864807099999972,1.232581377029419,1.0904467719999982,0.08905911445617676,0.0886237180000009,1.232384443283081,1.0902639469999986,0.9971590909090909,0.008058604784309864,704,0.008058604784309864,0.9971590909090909
7,0.06722689075630252,224,60.9358848,12.0,0.0,0.0,0.23964834213256836,0.22352877999999876,3.1193535327911377,2.853691079999999,0.020591020584106445,0.02043816800000009,0.4800426959991455,0.4672929659999987,0.0007719993591308594,0.0007722940000007839,0.0066258907318115234,0.006588588000001394,0.16485595703125,0.14918981799999997,1.346156120300293,1.2357386340000005,0.0533599853515625,0.05306189400000072,1.2859413623809814,1.143508665999999,0.05333590507507324,0.05303815200000095,1.2857203483581543,1.1433020989999996,1.0,0.002138803480193019,360,0.002138803480193019,1.0
8,0.07563025210084033,256,60.936695808,12.0,0.0,0.0,0.23355317115783691,0.22429799299999864,3.3529067039489746,3.0779890729999977,0.02086043357849121,0.0206963309999999,0.5009031295776367,0.4879892969999986,0.0007910728454589844,0.0007862969999994363,0.007416963577270508,0.00737488500000083,0.15394091606140137,0.14519612399999993,1.5000970363616943,1.3809347580000004,0.057891130447387695,0.05755309299999922,1.3438324928283691,1.2010617589999981,0.05786490440368652,0.057527842999999024,1.3435852527618408,1.2008299419999986,1.0,0.008371198549866676,398,0.008371198549866676,1.0
9,0.08403361344537816,288,60.936822784,12.0,0.0,0.0,0.2695784568786621,0.25644113999999973,3.6224851608276367,3.3344302129999974,0.023816823959350586,0.023644042999999115,0.5247199535369873,0.5116333399999977,0.0008234977722167969,0.0008183749999997048,0.008240461349487305,0.008193260000000535,0.16377663612365723,0.1512348699999997,1.6638736724853516,1.5321696280000001,0.08109116554260254,0.08067673200000058,1.4249236583709717,1.2817384909999987,0.08106541633605957,0.08065239700000149,1.4246506690979004,1.281482339,0.977491961414791,0.05273871868848801,622,0.05273871868848801,0.977491961414791
10,0.09243697478991597,320,60.936704,12.0,0.0,0.0,0.26256585121154785,0.25350372399999976,3.8850510120391846,3.587933936999997,0.024003028869628906,0.023821640999999616,0.5487229824066162,0.5354549809999973,0.0008211135864257812,0.0008157280000009592,0.009061574935913086,0.009008988000001494,0.15961527824401855,0.151122839000001,1.8234889507293701,1.6832924670000011,0.07805919647216797,0.07767821599999891,1.5029828548431396,1.3594167069999976,0.0780344009399414,0.07765493499999998,1.5026850700378418,1.359137274,0.9948805460750854,0.014386515133082867,586,0.014386515133082867,0.9948805460750854
