iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,58.294448128,11.5,0.0,0.0,0.09714245796203613,0.09656655700001693,448.98147416114807,445.74886785099926,0.026967525482177734,0.026775930999974662,104.80718183517456,103.6629651229995,0.07013297080993652,0.06975109100000054,343.9791193008423,341.90047675799985,0.07010698318481445,0.06972616000001608,343.8430016040802,341.77207365999817,0.9940711462450593,0.009901448152959347,506,0.009901448152959347,0.9940711462450593
1,0.01680672268907563,32,58.297409536,11.5,0.0,0.0,0.09508633613586426,0.09452656600001319,449.07656049728394,445.8433944169993,0.022578716278076172,0.02240944400000444,104.82976055145264,103.6853745669995,0.07246112823486328,0.07207765499998686,344.05158042907715,341.97255441299984,0.07243490219116211,0.07205331100004742,343.91543650627136,341.8441269709982,0.996268656716418,0.003888667095452547,536,0.003888667095452547,0.996268656716418
2,0.025210084033613446,64,58.301022208,11.5,0.0,0.0,0.0891122817993164,0.08857634600002484,449.16567277908325,445.9319707629993,0.02128767967224121,0.021131631000002926,104.85104823112488,103.7065061979995,0.0677797794342041,0.06740592799997103,344.11936020851135,342.0399603409998,0.06775426864624023,0.06738094999997202,343.9831907749176,341.9115079209982,1.0,0.0010725277243182063,494,0.0010725277243182063,1.0
3,0.03361344537815126,96,58.304118784,11.5,0.0,0.0,0.114166259765625,0.11350673300000835,449.2798390388489,446.0454774959993,0.024502038955688477,0.024323162000030152,104.87555027008057,103.73082935999953,0.08962368965148926,0.08914495200002648,344.20898389816284,342.12910529299984,0.08959197998046875,0.08911467800004402,344.07278275489807,342.00062259899823,1.0,0.00282483478076756,682,0.00282483478076756,1.0
4,0.04201680672268908,128,58.306691072,11.5,0.0,0.0,0.09712719917297363,0.09654227400000082,449.37696623802185,446.1420197699993,0.02361464500427246,0.02344579700002214,104.89916491508484,103.75427515699955,0.07346057891845703,0.07305256299997609,344.2824444770813,342.2021578559998,0.07343244552612305,0.07302578499997026,344.1462152004242,342.0736483839982,0.9962825278810409,0.006199629046022892,538,0.006199629046022892,0.9962825278810409
5,0.05042016806722689,160,58.308272128,11.5,0.0,0.0,0.12047505378723145,0.11979668699996182,449.4974412918091,446.26181645699927,0.024268388748168945,0.02408642199998212,104.92343330383301,103.77836157899954,0.09616756439208984,0.0956728959999964,344.3786120414734,342.2978307519998,0.09614205360412598,0.09564853799997763,344.2423572540283,342.1692969219982,0.9986945169712794,0.006462071090936661,766,0.006462071090936661,0.9986945169712794
6,0.058823529411764705,192,58.309787648,11.5,0.0,0.0,0.11607909202575684,0.11540699099998619,449.61352038383484,446.37722344799926,0.027122020721435547,0.02692584299995815,104.95055532455444,103.8052874219995,0.08891654014587402,0.08844262399998115,344.46752858161926,342.3862733759998,0.08888959884643555,0.08841716599999927,344.33124685287476,342.2577140879982,0.9971590909090909,0.0066504403948783875,704,0.0066504403948783875,0.9971590909090909
7,0.06722689075630252,224,58.311335936,11.5,0.0,0.0,0.07404351234436035,0.0735845089999998,449.6875638961792,446.45080795699926,0.020319223403930664,0.020167745999970066,104.97087454795837,103.82545516799946,0.05368518829345703,0.05337946400004512,344.5212137699127,342.43965283999984,0.05365943908691406,0.05335480300004747,344.38490629196167,342.31106889099823,0.9972222222222222,0.004783259704709053,360,0.004783259704709053,0.9972222222222222
8,0.07563025210084033,256,58.311852032,11.5,0.0,0.0,0.07696652412414551,0.07649901700000328,449.76453042030334,446.52730697399926,0.019784927368164062,0.019634626999959437,104.99065947532654,103.84508979499942,0.057142019271850586,0.056826485999977194,344.57835578918457,342.4964793259998,0.057116031646728516,0.05680135599999403,344.4420223236084,342.3678702469982,1.0,0.004939164500683546,398,0.004939164500683546,1.0
9,0.08403361344537816,288,58.313228288,11.5,0.0,0.0,0.10515618324279785,0.1045840099999964,449.86968660354614,446.63189098399926,0.023463010787963867,0.023293507999994745,105.0141224861145,103.86838330299942,0.08165383338928223,0.08125264600005266,344.66000962257385,342.57773197199987,0.08162760734558105,0.08122767499997963,344.523649930954,342.4490979219982,0.9823151125401929,0.07621537148952484,622,0.07621537148952484,0.9823151125401929
